,Question,Count,Keywords
0,What are the signs and symptoms of coronavirus disease 2019 (COVID-19)?,82,"['coronavirus disease', 'signs and symptoms', 'symptoms of coronavirus', 'disease', 'signs', 'symptoms', 'coronavirus']"
1,Is turmeric enough to sanitize vegetables?,14,"['sanitize vegetables', 'vegetables', 'turmeric', 'sanitize']"
2,How can I help protect myself?,11,['protect']
3,What is a novel coronavirus?,10,['coronavirus']
4,How does the virus spread?,6,"['virus spread', 'spread', 'virus']"
5,What is physical distancing and why and how should I do it?,4,"['physical distancing', 'physical', 'distancing']"
6,How long will it take to develop a vaccine?,4,"['develop a vaccine', 'vaccine', 'long', 'develop']"
7,What steps should parents take to protect children during a community outbreak?,3,"['community outbreak', 'steps should parents', 'protect children', 'outbreak', 'steps', 'parents', 'protect', 'children', 'community']"
8,What is the difference between cleaning and disinfecting?,3,"['cleaning and disinfecting', 'difference between cleaning', 'disinfecting', 'difference', 'cleaning']"
9,What does more severe illness mean?,3,"['severe illness', 'severe', 'illness']"
10,Is the genome of SARS-CoV-2 (coronavirus) known?,3,"['coronavirus', 'genome']"
11,Is this virus comparable to SARS or to the seasonal flu?,2,"['comparable to sars', 'seasonal flu', 'virus comparable', 'sars', 'flu', 'virus', 'comparable', 'seasonal']"
12,Can humans become infected with the COVID-19 from an animal source?,2,"['animal source', 'humans become infected', 'source', 'humans', 'infected', 'animal']"
13,Why do the number of cases for previous days increase?,2,"['previous days increase', 'days increase', 'number of cases', 'cases for previous', 'previous days', 'increase', 'number', 'cases', 'previous', 'days']"
14,When is a person infectious?,2,"['person infectious', 'infectious', 'person']"
15,Are people with disabilities at higher risk?,2,"['higher risk', 'people with disabilities', 'disabilities at higher', 'risk', 'people', 'disabilities', 'higher']"
16,Where can I get tested?,2,['tested']
17,Who should clean and disinfect community spaces?,2,"['disinfect community spaces', 'community spaces', 'clean and disinfect', 'disinfect community', 'spaces', 'clean', 'disinfect', 'community']"
18,Should I continue to take my blood pressure medication?,2,"['blood pressure medication', 'pressure medication', 'blood pressure', 'medication', 'continue', 'blood', 'pressure']"
19,Can the virus that causes COVID-19 be transmitted through the air?,2,"['air', 'virus', 'transmitted']"
20,I plan to travel to  have a meeting in countries or territories currently experiencing local transmission of COVID-19. Should I cancel this travelmeeting?,2,"['experiencing local transmission', 'plan to travel', 'meeting in countries', 'countries or territories', 'territories currently experiencing', 'experiencing local', 'local transmission', 'cancel this travelmeeting', 'plan', 'travel', 'meeting', 'countries', 'territories', 'experiencing', 'local', 'transmission', 'travelmeeting', 'cancel']"
21,Can I walk my dog?,2,"['walk my dog', 'dog', 'walk']"
22,How did the coronavirus outbreak start?,2,"['coronavirus outbreak start', 'outbreak start', 'coronavirus outbreak', 'start', 'coronavirus', 'outbreak']"
23,Will schools be dismissed if there is an outbreak in my community?,2,"['schools be dismissed', 'community', 'schools', 'dismissed', 'outbreak']"
24,Should I worry about my pet cat?,2,"['pet cat', 'cat', 'worry', 'pet']"
25,What is the situation in Europe at the moment?,2,"['situation in europe', 'europe', 'moment', 'situation']"
26,Should I go to work if there is an outbreak in my community?,2,"['community', 'work', 'outbreak']"
27,What is the risk of infection in pregnant women and neonates?,2,"['women and neonates', 'risk of infection', 'infection in pregnant', 'pregnant women', 'neonates', 'risk', 'infection', 'pregnant', 'women']"
28,Is it true that wearing two surgical masks is more effective against transmission than wearing only one?,1,"['surgical masks', 'effective against transmission', 'true that wearing', 'wearing two surgical', 'transmission than wearing', 'wearing', 'true', 'surgical', 'masks', 'effective', 'transmission']"
29,How often do we need to change surgical masks if is stock is short?,1,"['change surgical masks', 'stock is short', 'change surgical', 'surgical masks', 'short', 'change', 'surgical', 'masks', 'stock']"
30,Are fetal scalp procedures safe in COVID patients in the obstetric ward?,1,"['fetal scalp procedures', 'scalp procedures safe', 'safe in covid', 'covid patients', 'obstetric ward', 'fetal scalp', 'scalp procedures', 'procedures safe', 'covid', 'ward', 'fetal', 'scalp', 'procedures', 'safe', 'patients', 'obstetric']"
31,Is it necessary to cover probes with removable plastic?,1,"['removable plastic', 'cover probes', 'probes with removable', 'plastic', 'cover', 'probes', 'removable']"
32,Are children also at risk of infection and what is their potential role in transmission?,1,"['role in transmission', 'risk of infection', 'potential role', 'transmission', 'children', 'risk', 'infection', 'potential', 'role']"
33,How long do companies need to close for disinfection after an exposure?,1,"['long do companies', 'close for disinfection', 'exposure', 'long', 'companies', 'close', 'disinfection']"
34,"When should we identify ourselves as ""being sick"" and stay at home?",1,"['stay at home', 'sick', 'home', 'identify', 'stay']"
35,Are you using head covering such as a OR cap when caring for the COVID patient?,1,"['covid patient', 'head covering', 'cap when caring', 'covid', 'patient', 'head', 'covering', 'cap', 'caring']"
36,I am looking after someone who is ill with suspect or confirmed COVID-19. What precautions should I take?,1,"['suspect or confirmed', 'ill with suspect', 'confirmed', 'ill', 'suspect', 'precautions']"
37,Is there any caution about the use of corticosteroid for fetal lung maturation in the affected mother?,1,"['fetal lung maturation', 'affected mother', 'corticosteroid for fetal', 'fetal lung', 'lung maturation', 'mother', 'caution', 'corticosteroid', 'fetal', 'lung', 'maturation', 'affected']"
38,Are there any medicines or therapies that can prevent or cure COVID-19?,1,"['prevent or cure', 'medicines or therapies', 'cure', 'medicines', 'therapies', 'prevent']"
39,What additional steps should families that have a child with an underlying medical condition or special health care need take?,1,"['underlying medical condition', 'special health care', 'additional steps', 'steps should families', 'underlying medical', 'medical condition', 'condition or special', 'special health', 'health care', 'additional', 'steps', 'families', 'child', 'underlying', 'medical', 'condition', 'special', 'health', 'care']"
40,What can I do if my child has difficulties adjusting to new routines and following recommendations?,1,"['child has difficulties', 'difficulties adjusting', 'recommendations', 'child', 'difficulties', 'adjusting', 'routines']"
41,Should I start avoiding people of Asian descent and their businesses?,1,"['start avoiding people', 'people of asian', 'asian descent', 'start avoiding', 'avoiding people', 'asian', 'businesses', 'start', 'avoiding', 'people', 'descent']"
42,Is there a connection between COVID -19 and environment temperature?,1,"['connection between covid', 'environment temperature', 'covid', 'temperature', 'connection', 'environment']"
43,What about underlying medical conditions that are not included on this list?,1,"['underlying medical conditions', 'underlying medical', 'medical conditions', 'list', 'underlying', 'medical', 'conditions', 'included']"
44,My colleague is sick but heshe insists that it is just the common cold and is reluctant to work from home. What steps can we take to enforce staying at home when not well amongst staff?,1,"['colleague is sick', 'sick but heshe', 'heshe insists', 'common cold', 'reluctant to work', 'work from home', 'home', 'colleague', 'sick', 'heshe', 'insists', 'common', 'cold', 'reluctant', 'work', 'enforce staying', 'staying at home', 'staff', 'steps', 'enforce']"
45,How do patients in Italy get US and antenatal testing during the lockdown period?,1,"['patients in italy', 'lockdown period', 'antenatal testing', 'italy', 'period', 'patients', 'antenatal', 'testing', 'lockdown']"
46,Should children wear masks?,1,"['children wear masks', 'wear masks', 'children wear', 'masks', 'children', 'wear']"
47,Isolation of the newborn in case of an infected mother?,1,"['infected mother', 'newborn in case', 'isolation', 'mother', 'newborn', 'case', 'infected']"
48,Do prenatal corticoids in COVID patients worsen the condition?,1,"['covid patients worsen', 'corticoids in covid', 'covid patients', 'worsen the condition', 'prenatal corticoids', 'patients worsen', 'covid', 'condition', 'prenatal', 'corticoids', 'patients', 'worsen']"
49,What is the process for evaluating the criticality of official travels and meetings?,1,"['travels and meetings', 'process for evaluating', 'evaluating the criticality', 'criticality of official', 'official travels', 'meetings', 'process', 'evaluating', 'criticality', 'official', 'travels']"
50,Should I wear a mask to protect myself from catching the COVID-19 virus?,1,"['virus', 'wear a mask', 'mask to protect', 'wear', 'mask', 'protect', 'catching']"
51,"What is the protocol for staff members returning to work after visiting COVID-19 affected countries (i.e., those with ongoing transmission)?",1,"['affected countries', 'staff members returning', 'work after visiting', 'ongoing transmission', 'protocol for staff', 'staff members', 'members returning', 'returning to work', 'visiting', 'affected', 'countries', 'transmission', 'protocol', 'staff', 'members', 'returning', 'work', 'ongoing']"
52,What is the risk of my child becoming sick with COVID-19?,1,"['child becoming sick', 'risk', 'child', 'sick']"
53,Do you have any report of the virus transition by sexual contact?,1,"['sexual contact', 'virus transition', 'transition by sexual', 'contact', 'report', 'virus', 'transition', 'sexual']"
54,What was HRs policy for staff with comorbidities and pregnant doctors?,1,"['pregnant doctors', 'hrs policy', 'policy for staff', 'staff with comorbidities', 'comorbidities and pregnant', 'doctors', 'hrs', 'policy', 'staff', 'comorbidities', 'pregnant']"
55,Do obstetricians or midwives in your experience need to help in other wards?,1,"['obstetricians or midwives', 'wards', 'obstetricians', 'midwives', 'experience']"
56,What are the travel restrictions in the European Union?,1,"['european union', 'travel restrictions', 'union', 'european', 'travel', 'restrictions']"
57,Can you give us an update on the baby who tested positive last week?,1,"['positive last week', 'baby who tested', 'tested positive', 'week', 'give', 'update', 'baby', 'tested', 'positive']"
58,Is it okay for me to donate blood?,1,"['donate blood', 'blood', 'donate']"
